clinic,area,phone,email,website,owner,status
Din Tannklinikk,Helsfyr / Oslo øst,+47 22 42 42 49,post@dintannklinikk.no,dintannklinikk.no,Manzar Arafat Din,ready
Oslo Tannlegesenter,Sentrum (Vika),+47 22 42 49 50,post@oslotannlegesenter.no,oslotannlegesenter.no,Labiba Abu Nima (CEO),ready
Tannlege Oslo AS,Grønland,+47 21 64 64 10,,oslotannlegeklinikk.no,Wesam Baghher Taki Almashat,finn kontakt
Tøyen Tannlegevakt,Tøyen / Oslo øst,+47 22 19 18 00,tannlegesenter@gmail.com,toyentannlegevakt.no,Ravinder Vir Randawa,ready
Sentrum Tannlegevakt & Tannlegeklinikk,Sentrum,+47 22 20 10 10,sentrumtannlegevakt@gmail.com,sentrumtannlegeklinikk.no,,ready
Tannlegene på Sinsen,Sinsen,+47 22 15 74 64,,tannlegesinsen.no,,finn kontakt
Bærum-Sandvika Tannlegevakt,Sandvika,+47 99 11 11 16,post@bstannlegevakt.no,bstannlegevakt.no,Omar Al-Jubory,ready
Sandvika Tannlegevakt (Singh),Sandvika,+47 97 77 37 12,,sandvikatannlegevakt.no,Naunihal Singh,finn kontakt
Eurodent Oslo,Sentrum,+47 21 06 66 66,,eurodent.no,,finn kontakt
Youngstorget Tannlegesenter,Sentrum,+47 96 66 83 33,,oslotannakutt.no,,finn kontakt
Emaljen Tannklinikk,Sentrum,+47 22 33 32 58,post@emaljentannklinikk.no,emaljentannklinikk.no,Inas Dhia Sadik Alrawaf,ready
Orbdent Oslo AS,Sentrum,+47 22 42 04 16,,orbdent.no,,finn kontakt
Oslo Sentrum Tannklinikk,Sentrum,+47 21 38 60 65,post@oslosentrumtannklinikk.no,oslosentrumtannklinikk.no,,ready
Dental Studio (Ensjø & Lørenskog),Lørenskog + Ensjø,+47 95 02 40 40,ensjo@dentalstudio.no,dentalstudio.no,,ready
Lørenskog Tannklinikk AS (Dr. Mucha),Lørenskog,+47 67 90 17 90,post@lorenskogtannklinikk.no,lorenskogtannklinikk.no,,ready
Dental Center Lørenskog,Lørenskog,+47 67 91 72 00,,tannhelsesenter.no,,finn kontakt
Lørenskog Tannlegesenter,Lørenskog,+47 67 90 40 90,,lorenskogtannlege.no,,finn kontakt
NurDent Lillestrøm Tannlegesenter,Lillestrøm,+47 41 79 25 35,kontakt@nurdent.no,nurdent.no,,ready
Strømmen Tannhelse og Tannlegevakt,Strømmen,+47 46 28 98 00,post@strommentannhelse.no,strommentannhelse.no,Bhavna Pathania,ready
Lillestrøm Tannhelse,Lillestrøm,+47 90 11 19 19,post@lillestromtannhelse.no,lillestromtannhelse.no,Burim Nurkasa,ready
Sunn Tannhelseklinikk,Lillestrøm + Jessheim (3 avd.),+47 63 81 88 98,,sunntannhelseklinikk.no,,finn kontakt
Lillestrøm Tannklinikk og Tannlegevakt,Lillestrøm,+47 63 81 81 43,h.g@hotmail.no,lillestromtannlegevakt.no,,ready
